Price,Open,High,Low,Close,Volume
Ticker,BRK-B,BRK-B,BRK-B,BRK-B,BRK-B
Date,,,,,
2024-01-02,356.3,362.6,355.9,362.5,4737000
2024-01-03,362.1,367.9,361.1,366.8,4321800
2024-01-04,367.4,369.4,363.4,363.7,4142800
2024-01-05,364.8,366.3,364.2,365.6,2965200
2024-01-08,366.0,368.3,364.2,368.2,3445700
2024-01-09,368.0,368.0,364.8,366.9,2998800
2024-01-10,366.3,368.8,365.8,367.9,2448100
2024-01-11,367.8,367.9,362.1,363.3,3577800
2024-01-12,366.5,366.9,362.6,363.6,2623100
2024-01-16,362.9,363.6,359.9,361.1,3046500
2024-01-17,359.0,362.5,358.0,359.3,2550300
2024-01-18,359.2,362.6,358.3,362.4,3007800
2024-01-19,362.2,368.3,361.0,367.0,4063700
2024-01-22,368.0,369.3,366.5,368.1,3552500
2024-01-23,368.0,372.4,367.7,372.1,2896300
2024-01-24,372.5,377.8,372.0,376.6,4589300
2024-01-25,379.2,381.0,377.9,380.9,4055800
2024-01-26,381.0,385.7,380.0,385.4,3621400
2024-01-29,385.5,385.7,379.2,383.2,3797400
2024-01-30,383.2,387.6,380.1,387.1,3090900
2024-01-31,386.5,387.9,383.5,383.7,3856400
2024-02-01,384.0,386.5,381.5,386.4,2947100
2024-02-02,386.7,392.1,386.4,390.8,3806800
2024-02-05,390.0,393.4,389.3,390.8,3651900
2024-02-06,390.3,393.9,390.0,393.7,2573400
2024-02-07,394.6,399.1,394.4,397.7,3426800
2024-02-08,397.2,398.6,394.9,397.5,3357700
2024-02-09,397.3,398.4,395.8,398.4,2509800
2024-02-12,398.6,399.5,396.2,397.7,2817900
2024-02-13,397.2,399.7,392.1,394.8,3458500
2024-02-14,395.1,398.9,393.5,398.7,2669200
2024-02-15,399.1,404.3,398.3,403.5,3076000
2024-02-16,404.4,406.7,402.6,406.0,3532200
2024-02-20,406.5,411.1,406.1,407.1,3530700
2024-02-21,408.3,409.5,406.7,409.2,2717600
2024-02-22,411.3,416.3,411.0,415.2,3687600
2024-02-23,417.7,420.6,416.5,417.2,4015600
2024-02-26,422.0,430.0,408.9,409.1,7432300
2024-02-27,409.2,410.0,401.7,408.9,4609100
2024-02-28,408.5,414.7,407.7,412.1,4067400
2024-02-29,413.1,413.8,408.4,409.4,4845200
2024-03-01,409.5,410.4,405.5,407.1,3282100
2024-03-04,405.0,406.0,401.4,403.4,4179400
2024-03-05,402.5,403.3,398.8,400.7,4711700
2024-03-06,402.2,407.4,401.7,404.0,3839100
2024-03-07,406.1,406.4,399.6,402.4,4181300
2024-03-08,401.1,403.4,400.0,403.1,3410600
2024-03-11,403.3,405.0,402.7,404.8,2431700
2024-03-12,406.8,407.2,404.1,405.0,2616700
2024-03-13,405.3,409.0,404.1,408.1,3584600
2024-03-14,409.1,409.1,403.3,406.7,3734700
2024-03-15,404.3,408.5,402.5,408.1,7548800
2024-03-18,408.7,410.6,406.0,408.4,3775700
2024-03-19,409.1,412.2,408.1,411.8,2795800
2024-03-20,412.0,416.3,411.5,416.1,2932900
2024-03-21,416.7,417.8,413.5,413.8,3401600
2024-03-22,413.0,414.4,411.4,411.6,2999600
2024-03-25,410.7,411.1,408.9,409.9,2804200
2024-03-26,410.0,412.7,408.6,411.6,2935100
2024-03-27,413.6,417.2,413.4,416.9,2926000
2024-03-28,417.8,421.4,415.9,420.5,4377400
2024-04-01,421.5,421.7,417.8,420.2,2716100
2024-04-02,419.8,421.0,418.1,418.9,3174900
2024-04-03,419.0,421.9,418.5,420.2,2740800
2024-04-04,423.8,424.5,414.5,415.3,3800600
2024-04-05,416.6,419.3,415.4,418.6,2738300
2024-04-08,418.3,418.6,415.6,416.0,2485700
2024-04-09,416.6,417.3,412.1,414.7,2233100
2024-04-10,412.7,413.6,407.5,409.1,3121300
2024-04-11,408.4,411.1,404.0,407.6,2889900
2024-04-12,405.0,407.2,401.4,403.3,3467300
2024-04-15,407.0,409.1,399.9,400.3,3002300
2024-04-16,401.0,401.2,396.5,396.9,3435500
2024-04-17,398.9,399.3,395.7,397.7,2465600
2024-04-18,399.7,403.0,399.1,399.9,2669500
2024-04-19,401.0,405.6,400.2,405.1,3996100
2024-04-22,406.8,411.4,406.2,408.8,2980600
2024-04-23,410.2,410.7,405.6,408.7,2287600
2024-04-24,407.1,407.6,403.9,406.0,2506900
2024-04-25,404.9,406.1,400.4,404.9,2670200
2024-04-26,403.9,404.8,401.4,402.1,3023100
2024-04-29,402.7,404.9,400.1,401.0,2363600
2024-04-30,400.6,400.6,396.4,396.7,3070500
2024-05-01,396.6,402.3,396.4,398.6,2605000
2024-05-02,401.0,401.6,397.9,400.6,2672200
2024-05-03,404.5,404.5,399.2,400.9,4119100
2024-05-06,404.0,405.1,399.3,404.9,3918900
2024-05-07,406.9,407.3,403.6,406.1,3084200
2024-05-08,406.5,407.2,403.8,406.4,2398100
2024-05-09,406.2,408.9,405.5,408.8,2356600
